,default_profile,default_profile_image,favourites_count,followers_count,friends_count,geo_enabled,lang,location,statuses_count,verified,average_tweets_per_day,account_age_days,account_type,screen_name_len,description_len
26746,0,0,564,5929,12380,1,1,1,1357,0,0.505,2685,0,12,149
7091,1,0,1450,92,439,0,1,0,1891,0,0.658,2876,0,8,71
20081,0,0,923,246091,834,1,1,1,18295,1,4.385,4172,1,12,134
21813,1,0,11108,1045,417,1,1,0,2424,0,0.773,3137,1,14,147
33932,1,0,3519,22,40,0,1,1,3698,0,2.112,1751,0,12,131
35263,0,0,237926,4746,5191,0,1,1,79020,0,18.053,4377,1,12,151
14773,1,0,1675,91,193,1,1,1,2301,0,0.788,2920,0,8,42
30145,0,0,2169,0,0,0,1,0,2196,0,0.764,2875,0,14,50
7087,0,0,16163,204512,1600,0,1,1,51038,1,12.049,4236,1,9,155
17024,0,0,4601,31052,1376,0,1,0,13913,1,4.219,3298,1,12,144
23227,0,0,12270,2236091,103,0,1,1,427,1,0.12,3549,1,12,29
31523,1,0,1508,336,259,1,1,0,2089,0,0.956,2185,1,12,146
13939,1,0,35910,1473,352,0,1,1,7060,0,2.922,2416,1,11,49
18894,0,0,2102,1976,2267,1,1,1,5462,0,1.329,4110,0,9,29
25512,1,0,2083,500,1063,1,1,1,2431,0,1.021,2381,0,10,35
9310,0,0,1018,178341,541,0,1,1,155636,1,37.047,4201,0,10,145
28393,0,0,2562,607,686,0,1,1,1552,0,0.85,1825,1,11,146
23775,0,0,57372,185617,11596,1,1,1,30745,1,7.679,4004,1,14,18
11646,0,0,657,7221,815,0,1,1,25129,0,5.75,4370,1,7,83
1459,1,0,1332,8,34,0,1,0,1332,0,0.91,1463,0,15,37
24219,1,0,2577,41,105,1,1,1,3046,0,1.351,2255,0,7,71
26329,1,0,69,0,0,0,1,0,187,0,0.129,1445,1,15,157
18016,1,0,6592,157536,365,1,1,0,13346,1,3.21,4157,1,10,139
12550,0,0,11377,2367,444,0,1,1,12569,0,3.04,4134,0,12,157
32733,1,0,38,19,13,0,1,1,341,0,0.268,1271,0,15,90
25563,0,0,119,227,99,1,1,1,85,0,0.02,4178,1,12,157
11062,1,0,70153,2132,2472,0,1,1,54114,0,31.136,1738,1,9,85
26717,0,0,27154,4109,3421,0,1,1,23024,0,5.319,4329,1,12,113
32775,0,0,35,4633500,64,0,1,1,18812,1,4.362,4313,1,11,148
24427,0,0,630,178097,659,0,1,1,21785,1,5.199,4190,1,13,54
2205,0,0,2351,127,49,0,1,1,3125,0,1.067,2929,0,15,80
